INFO  2022-10-31 23:34:33,564 GlobalInitializationListener(36) [APP LOG] /root/.knowledge/logs/app.log
INFO  2022-10-31 23:34:34,696 H2DBServerLogic(51) H2 Database server started.
INFO  2022-10-31 23:34:36,231 InitDB(129) The database of this service is arleady inited. database version is 1.13.0.
INFO  2022-10-31 23:34:36,242 InitializationListener(61) Knowledge start
INFO  2022-10-31 23:34:36,244 InitializationListener(62) knowledge install path: '/usr/local/tomcat/webapps/ROOT/'
INFO  2022-10-31 23:34:36,245 InitializationListener(63) knowledge home path: '/root/.knowledge'
INFO  2022-10-31 23:34:36,428 SystemConfig(134) Load custom top page infomation. language: en
INFO  2022-10-31 23:34:36,431 SystemConfig(134) Load custom top page infomation. language: ja
INFO  2022-10-31 23:34:37,051 InvokeSearch(166) same target duplicate add. [open.api/knowledges]
INFO  2022-10-31 23:34:37,063 InvokeSearch(166) same target duplicate add. [open.api/users]
